TSCA,HAPS,EHS,COI,RTK,SVHC,RED,EPA,LTAP,SNUR List,NES HAPS,"PBT
(WAC 173-333-320)",IARC
34962-65-7,,,,,,,,,,,,
34962-71-5,,,,,,,,,,,,
34962-73-7,,,,,,,,,,,,
349656-42-4,,,,,,,,,,,,
3497-00-5,,,,,,,,,,,,
349-76-8,,,,,,,,,,,,
349-78-0,,,,,,,,,,,,
349-88-2,,,,,,,,,,,,
34994-91-7,,,,,,,,,,,,
34995-77-2,,,,,,,,,,,,
35001-51-5,,,,,,,,,,,,
35001-52-6,,,,,,,,,,,,
350035-73-3,,,,,,,,,,,,
350-03-8,,,,,,,,,,,,
35015-74-8,,,,,,,,,,,,
350-19-6,,,,,,,,,,,,
35029-96-0,,,,,,,,,,,,
35037-73-1,,,,,,,,,,,,
35038-64-3,,,,,,,,,,,,
35038-81-4,,,,,,,,,,,,
35044-57-6,,,,,,,,,,,,
35044-58-7,,,,,,,,,,,,
35044-59-8,,,,,,,,,,,,
35044-68-9,,,,,,,,,,,,
350-46-9,,,,,,,,,,,,
35047-04-2,,,,,,,,,,,,
35050-10-3,,,,,,,,,,,,
350-50-5,,,,,,,,,,,,
3505-38-2,,,,,,,,,,,,
35054-95-6,,,,,,,,,,,,
35064-90-5,,,,,,,,,,,,
35073-27-9,,,,,,,,,,,,
35074-30-7,,,,,,,,,,,,
35074-77-2,,,,,,,,,,,,
35076-92-7,,,,,,,,,,,,
35077-00-0,,,,,,,,,,,,
35079-64-2,,,,,,,,,,,,
3507-99-1,,,,,,,,,,,,
3508-00-7,,,,,,,,,,,,
1/8/3508,,,,,,,,,,,,
35080-47-8,,,,,,,,,,,,
350820-95-0,,,,,,,,,,,,
35087-20-8,,,,,,,,,,,,
35087-49-1,,,,,,,,,,,,
35087-77-5,,,,,,,,,,,,
3508-98-3,,,,,,,,,,,,
35092-67-2,,,,,,,,,,,,
35092-73-0,,,,,,,,,,,,
35096-99-2,,,,,,,,,,,,
35097-52-0,,,,,,,,,,,,
35098-28-3,,,,,,,,,,,,
351023-88-6,,,,,,,,,,,,
35104-88-2,,,,,,,,,,,,
35109-60-5,,,,,,,,,,,,
35112-27-7,,,,,,,,,,,,
35112-53-9,,,,,,,,,,,,
35114-09-1,,,,,,,,,,,,
35118-50-4,,,,,,,,,,,,
35123-06-9,,,,,,,,,,,,
35128-51-9,,,,,,,,,,,,
351-32-6,,,,,,,,,,,,
351343-77-6,,,,,,,,,,,,
351354-41-1,,,,,,,,,,,,
351354-50-2,,,,,,,,,,,,
351-35-9,,,,,,,,,,,,
3513-81-3,,,,,,,,,,,,
35138-79-5,,,,,,,,,,,,
35141-30-1,,,,,,,,,,,,
35141-35-6,,,,,,,,,,,,
35141-36-7,,,,,,,,,,,,
35148-18-6,,,,,,,,,,,,
35148-19-7,,,,,,,,,,,,
351-50-8,,,,,,,,,,,,
35151-11-2,,,,,,,,,,,,
35153-09-4,,,,,,,,,,,,
35153-15-2,,,,,,,,,,,,
35153-16-3,,,,,,,,,,,,
35153-18-5,,,,,,,,,,,,
35153-21-0,,,,,,,,,,,,
35154-45-1,,,,,,,,,,,,
35158-25-9,,,,,,,,,,,,
35160-38-4,,,,,,,,,,,,
35161-67-2,,,,,,,,,,,,
35164-31-9,,,,,,,,,,,,
35164-39-7,,,,,,,,,,,,
35164-40-0,,,,,,,,,,,,
35164-53-5,,,,,,,,,,,,
35165-96-9,,,,,,,,,,,,
35170-70-8,,,,,,,,,,,,
35171-26-7,,,,,,,,,,,,
35173-80-9,,,,,,,,,,,,
35176-06-8,,,,,,,,,,,,
35176-07-9,,,,,,,,,,,,
35176-76-2,,,,,,,,,,,,
35176-78-4,,,,,,,,,,,,
35182-51-5,,,,,,,,,,,,
35184-56-6,,,,,,,,,,,,
351870-33-2,,,,,,,,,,,,
35193-14-7,,,,,,,,,,,,
35194-30-0,,,,,,,,,,,,
35194-63-9,,,,,,,,,,,,
35200-02-3,,,,,,,,,,,,
35203-06-6,,,,,,,,,,,,
35203-08-8,,,,,,,,,,,,
3520-42-1,,,,,,,,,,,,
35205-76-6,,,,,,,,,,,,
35205-77-7,,,,,,,,,,,,
35205-78-8,,,,,,,,,,,,
35206-51-0,,,,,,,,,,,,
35206-70-3,,,,,,,,,,,,
3520-72-7,,,,,,,,,,,,
35209-41-7,,,,,,,,,,,,
35209-54-2,,,,,,,,,,,,
3521-06-0,,,,,,,,,,,,
352-11-4,,,,,,,,,,,,
352-13-6,,,,,,,,,,,,
3521-91-3,,,,,,,,,,,,
35219-73-9,,,,,,,,,,,,
352206-47-4,,,,,,,,,,,,
352-24-9,,,,,,,,,,,,
35227-05-5,,,,,,,,,,,,
3522-86-9,,,,,,,,,,,,
352-32-9,,,,,,,,,,,,
352-33-0,,,,,,,,,,,,
35233-69-3,,,,,,,,,,,,
352-34-1,,,,,,,,,,,,
35237-62-8,,,,,,,,,,,,
35237-64-0,,,,,,,,,,,,
35238-34-7,,,,,,,,,,,,
35239-19-1,,,,,,,,,,,,
35239-21-5,,,,,,,,,,,,
35239-30-6,,,,,,,,,,,,
35243-89-1,,,,,,,,,,,,
352462-03-4,,,,,,,,,,,,
3524-62-7,,,,,,,,,,,,
3524-66-1,,,,,,,,,,,,
3524-68-3,,,,,,,,,,,,
35247-09-7,,,,,,,,,,,,
3524-87-6,,,,,,,,,,,,
35249-69-5,,,,,,,,,,,,
35249-89-9,,,,,,,,,,,,
35250-53-4,,,,,,,,,,,,
352535-01-4,,,,,,,,,,,,
35254-77-4,,,,,,,,,,,,
35263-47-9,,,,,,,,,,,,
35265-04-4,,,,,,,,,,,,
352661-91-7,,,,,,,,,,,,
35266-49-0,,,,,,,,,,,,
3526-75-8,,,,,,,,,,,,
352-70-5,,,,,,,,,,,,
35271-57-9,,,,,,,,,,,,
35272-27-6,,,,,,,,,,,,
35274-05-6,,,,,,,,,,,,
35280-78-5,,,,,,,,,,,,
3528-63-0,,,,,,,,,,,,
3528-66-3,,,,,,,,,,,,
352-87-4,,,,,,,,,,,,
1/9/3529,,,,,,,,,,,,
352-93-2,,,,,,,,,,,,
35293-35-7,,,,,,,,,,,,
35294-62-3,,,,,,,,,,,,
35295-35-3,,,,,,,,,,,,
35295-36-4,,,,,,,,,,,,
35297-54-2,,,,,,,,,,,,
35298-13-6,,,,,,,,,,,,
3529-82-6,,,,,,,,,,,,
3530-19-6,,,,,,,,,,,,
35302-14-8,,,,,,,,,,,,
35302-16-0,,,,,,,,,,,,
3530-36-7,,,,,,,,,,,,
3531-19-9,,,,,,,,,,,,
35312-82-4,,,,,,,,,,,,
3531-64-4,,,,,,,,,,,,
35318-10-6,,,,,,,,,,,,
35323-16-1,,,,,,,,,,,,
35325-02-1,,,,,,,,,,,,
35325-80-5,,,,,,,,,,,,
35326-25-1,,,,,,,,,,,,
35331-89-6,,,,,,,,,,,,
353-36-6,,,,,,,,,,,,
35342-16-6,,,,,,,,,,,,
353-42-4,,,,,,,,,,,,
35343-65-8,,,,,,,,,,,,
35343-70-5,,,,,,,,,,,,
35350-31-3,,,,,,,,,,,,
353-50-4,,,,,,,,,,,,
35354-38-2,,,,,,,,,,,,
353-54-8,,,,,,,,,,,,
3535-50-0,,,,,,,,,,,,
35355-77-2,,,,,,,,,,,,
3535-83-9,,,,,,,,,,,,
35358-78-2,,,,,,,,,,,,
353-59-3,,,,,,,,,,,,
353-61-7,,,,,,,,,,,,
3536-49-0,,,,,,,,,,,,
35365-94-7,,,,,,,,,,,,
353-66-2,,,,,,,,,,,,
35367-38-5,,,,,,,,,,,,
3536-96-7,,,,,,,,,,,,
3537-83-5,,,,,,,,,,,,
3537-86-8,,,,,,,,,,,,
35379-58-9,,,,,,,,,,,,
35381-44-3,,,,,,,,,,,,
3538-36-1,,,,,,,,,,,,
353-85-5,,,,,,,,,,,,
3539-43-3,,,,,,,,,,,,
35397-13-8,,,,,,,,,,,,
35402-38-1,,,,,,,,,,,,
354-04-1,,,,,,,,,,,,
35406-29-2,,,,,,,,,,,,
354-06-3,,,,,,,,,,,,
354-11-0,,,,,,,,,,,,
35411-32-6,,,,,,,,,,,,
354140-56-0,,,,,,,,,,,,
354140-87-7,,,,,,,,,,,,
354141-10-9,,,,,,,,,,,,
354141-48-3,,,,,,,,,,,,
354-14-3,,,,,,,,,,,,
35416-42-3,,,,,,,,,,,,
354-21-2,,,,,,,,,,,,
354-23-4,,,,,,,,,,,,
3542-36-7,,,,,,,,,,,,
3542-44-7,,,,,,,,,,,,
354-24-5,,,,,,,,,,,,
354-25-6,,,,,,,,,,,,
354-27-8,,,,,,,,,,,,
354-28-9,,,,,,,,,,,,
35429-19-7,,,,,,,,,,,,
354-32-5,,,,,,,,,,,,
354-33-6,,,,,,,,,,,,
354-34-7,,,,,,,,,,,,
35435-21-3,,,,,,,,,,,,
354-38-1,,,,,,,,,,,,
35441-13-5,,,,,,,,,,,,
35441-18-0,,,,,,,,,,,,
35447-68-8,,,,,,,,,,,,
35448-31-8,,,,,,,,,,,,
354-56-3,,,,,,,,,,,,
354-58-5,,,,,,,,,,,,
354-64-3,,,,,,,,,,,,
35464-54-1,,,,,,,,,,,,
35464-56-3,,,,,,,,,,,,
35464-74-5,,,,,,,,,,,,
35465-66-8,,,,,,,,,,,,
35466-89-8,,,,,,,,,,,,
35466-90-1,,,,,,,,,,,,
35468-97-4,,,,,,,,,,,,
3546-96-1,,,,,,,,,,,,
354-69-8,,,,,,,,,,,,
35471-49-9,,,,,,,,,,,,
35472-85-6,,,,,,,,,,,,
35473-23-5,,,,,,,,,,,,
35473-24-6,,,,,,,,,,,,
3547-33-9,,,,,,,,,,,,
354-76-7,,,,,,,,,,,,
354801-22-2,,,,,,,,,,,,
354815-24-0,,,,,,,,,,,,
354-83-6,,,,,,,,,,,,
35483-96-6,,,,,,,,,,,,
35484-93-6,,,,,,,,,,,,
354-87-0,,,,,,,,,,,,
35489-35-1,,,,,,,,,,,,
3549-23-3,,,,,,,,,,,,
35501-23-6,,,,,,,,,,,,
355-02-2,,,,,,,,,,,,
355-03-3,,,,,,,,,,,,
35503-54-9,,,,,,,,,,,,
35513-87-2,,,,,,,,,,,,
35515-91-4,,,,,,,,,,,,
355-25-9,,,,,,,,,,,,
355-38-4,,,,,,,,,,,,
35541-81-2,,,,,,,,,,,,
355-42-0,,,,,,,,,,,,
35542-88-2,,,,,,,,,,,,
355-43-1,,,,,,,,,,,,
35544-45-7,,,,,,,,,,,,
35545-57-4,,,,,,,,,,,,
355-46-4,,,,,,,,,,,,
3554-74-3,,,,,,,,,,,,
355-50-0,,,,,,,,,,,,
11/1/3555,,,,,,,,,,,,
3555-47-3,,,,,,,,,,,,
35556-70-8,,,,,,,,,,,,
3555-86-0,,,,,,,,,,,,
35560-16-8,,,,,,,,,,,,
35560-57-7,,,,,,,,,,,,
35561-07-0,,,,,,,,,,,,
35561-64-9,,,,,,,,,,,,
35561-73-0,,,,,,,,,,,,
35567-30-7,,,,,,,,,,,,
35576-05-7,,,,,,,,,,,,
35578-47-3,,,,,,,,,,,,
355-80-6,,,,,,,,,,,,
3558-24-5,,,,,,,,,,,,
3558-60-9,,,,,,,,,,,,
35586-40-4,,,,,,,,,,,,
356057-29-9,,,,,,,,,,,,
356062-87-8,,,,,,,,,,,,
356-19-4,,,,,,,,,,,,
356-24-1,,,,,,,,,,,,
35625-60-6,,,,,,,,,,,,
35625-99-1,,,,,,,,,,,,
35626-18-7,,,,,,,,,,,,
356-26-3,,,,,,,,,,,,
356-27-4,,,,,,,,,,,,
35627-96-4,,,,,,,,,,,,
35628-00-3,,,,,,,,,,,,
35628-05-8,,,,,,,,,,,,
3562-84-3,,,,,,,,,,,,
35632-99-6,,,,,,,,,,,,
35633-50-2,,,,,,,,,,,,
35636-63-6,,,,,,,,,,,,
35640-09-6,,,,,,,,,,,,
3564-14-5,,,,,,,,,,,,
3564-15-6,,,,,,,,,,,,
35641-59-9,,,,,,,,,,,,
3564-18-9,,,,,,,,,,,,
3564-21-4,,,,,,,,,,,,
3564-22-5,,,,,,,,,,,,
356-42-3,,,,,,,,,,,,
3564-26-9,,,,,,,,,,,,
3564-27-0,,,,,,,,,,,,
356-45-6,,,,,,,,,,,,
3564-70-3,,,,,,,,,,,,
35650-01-2,,,,,,,,,,,,
3565-26-2,,,,,,,,,,,,
35657-77-3,,,,,,,,,,,,
10/7/3566,,,,,,,,,,,,
3566-44-7,,,,,,,,,,,,
3566-65-2,,,,,,,,,,,,
3566-95-8,,,,,,,,,,,,
3567-25-7,,,,,,,,,,,,
35674-39-6,,,,,,,,,,,,
35674-56-7,,,,,,,,,,,,
35674-68-1,,,,,,,,,,,,
3567-65-5,,,,,,,,,,,,
3567-66-6,,,,,,,,,,,,
3567-69-9,,,,,,,,,,,,
35677-29-3,,,,,,,,,,,,
3568-26-1,,,,,,,,,,,,
3568-29-4,,,,,,,,,,,,
35684-23-2,,,,,,,,,,,,
356-86-5,,,,,,,,,,,,
35688-04-1,,,,,,,,,,,,
1/5/3569,,,,,,,,,,,,
35691-65-7,,,,,,,,,,,,
35703-14-1,,,,,,,,,,,,
35705-05-6,,,,,,,,,,,,
35705-21-6,,,,,,,,,,,,
35705-30-7,,,,,,,,,,,,
3570-55-6,,,,,,,,,,,,
35705-94-3,,,,,,,,,,,,
3570-80-7,,,,,,,,,,,,
35709-09-2,,,,,,,,,,,,
3570-93-2,,,,,,,,,,,,
35714-87-5,,,,,,,,,,,,
35714-88-6,,,,,,,,,,,,
6/3/3572,,,,,,,,,,,,
35722-92-0,,,,,,,,,,,,
35723-81-0,,,,,,,,,,,,
35723-89-8,,,,,,,,,,,,
35724-06-2,,,,,,,,,,,,
3572-47-2,,,,,,,,,,,,
3572-52-9,,,,,,,,,,,,
3572-64-3,,,,,,,,,,,,
35743-21-6,,,,,,,,,,,,
35743-23-8,,,,,,,,,,,,
35743-24-9,,,,,,,,,,,,
35743-58-9,,,,,,,,,,,,
35745-23-4,,,,,,,,,,,,
35746-21-5,,,,,,,,,,,,
3574-73-0,,,,,,,,,,,,
3575-31-3,,,,,,,,,,,,
3575-32-4,,,,,,,,,,,,
357-57-3,,,,,,,,,,,,
35763-62-3,,,,,,,,,,,,
357650-26-1,,,,,,,,,,,,
3576-88-3,,,,,,,,,,,,
35769-72-3,,,,,,,,,,,,
35773-42-3,,,,,,,,,,,,
35773-43-4,,,,,,,,,,,,
35773-44-5,,,,,,,,,,,,
3577-63-7,,,,,,,,,,,,
35778-58-6,,,,,,,,,,,,
3578-64-1,,,,,,,,,,,,
3578-72-1,,,,,,,,,,,,
35794-11-7,,,,,,,,,,,,
35795-44-9,,,,,,,,,,,,
3582-17-0,,,,,,,,,,,,
358-23-6,,,,,,,,,,,,
3582-71-6,,,,,,,,,,,,
3582-72-7,,,,,,,,,,,,
35828-78-5,,,,,,,,,,,,
3583-00-4,,,,,,,,,,,,
35830-10-5,,,,,,,,,,,,
35830-43-4,,,,,,,,,,,,
35835-94-0,,,,,,,,,,,,
35838-12-1,,,,,,,,,,,,
35840-23-4,,,,,,,,,,,,
35852-46-1,,,,,,,,,,,,
35854-86-5,,,,,,,,,,,,
35860-37-8,,,,,,,,,,,,
12/7/3586,,,,,,,,,,,,
3586-14-9,,,,,,,,,,,,
3586-39-8,,,,,,,,,,,,
358-67-8,,,,,,,,,,,,
35869-60-4,,,,,,,,,,,,
35869-64-8,,,,,,,,,,,,
35884-05-0,,,,,,,,,,,,
35884-66-3,,,,,,,,,,,,
3588-63-4,,,,,,,,,,,,
35888-63-2,,,,,,,,,,,,
35890-38-1,,,,,,,,,,,,
35900-26-6,,,,,,,,,,,,
3590-52-1,,,,,,,,,,,,
359-06-8,,,,,,,,,,,,
359-07-9,,,,,,,,,,,,
359-08-0,,,,,,,,,,,,
3590-84-9,,,,,,,,,,,,
359-11-5,,,,,,,,,,,,
35912-47-1,,,,,,,,,,,,
3591-42-2,,,,,,,,,,,,
35915-19-6,,,,,,,,,,,,
3592-19-6,,,,,,,,,,,,
35926-04-6,,,,,,,,,,,,
35933-93-8,,,,,,,,,,,,
359-35-3,,,,,,,,,,,,
359-40-0,,,,,,,,,,,,
359406-89-6,,,,,,,,,,,,
35940-77-3,,,,,,,,,,,,
359427-90-0,,,,,,,,,,,,
35945-15-4,,,,,,,,,,,,
35945-16-5,,,,,,,,,,,,
3594-55-6,,,,,,,,,,,,
35948-25-5,,,,,,,,,,,,
35948-27-7,,,,,,,,,,,,
35958-30-6,,,,,,,,,,,,
35976-48-8,,,,,,,,,,,,
359785-58-3,,,,,,,,,,,,
3598-16-1,,,,,,,,,,,,
35984-19-1,,,,,,,,,,,,
3599-20-0,,,,,,,,,,,,
3599-32-4,,,,,,,,,,,,
3600-24-6,,,,,,,,,,,,
36008-14-7,,,,,,,,,,,,
36018-09-4,,,,,,,,,,,,
36033-37-1,,,,,,,,,,,,
36043-80-8,,,,,,,,,,,,
3604-90-8,,,,,,,,,,,,
360-52-1,,,,,,,,,,,,
3605-31-0,,,,,,,,,,,,
360564-26-7,,,,,,,,,,,,
3605-77-4,,,,,,,,,,,,
36060-61-4,,,,,,,,,,,,
3606-21-1,,,,,,,,,,,,
360-64-5,,,,,,,,,,,,
36073-00-4,,,,,,,,,,,,
3607-78-1,,,,,,,,,,,,
36078-10-1,,,,,,,,,,,,
11/5/3608,,,,,,,,,,,,
36087-93-1,,,,,,,,,,,,
36087-94-2,,,,,,,,,,,,
36088-62-7,,,,,,,,,,,,
36089-13-1,,,,,,,,,,,,
360-89-4,,,,,,,,,,,,
36089-45-9,,,,,,,,,,,,
36090-21-8,,,,,,,,,,,,
360-97-4,,,,,,,,,,,,
3609-96-9,,,,,,,,,,,,
3610-27-3,,,,,,,,,,,,
361-09-1,,,,,,,,,,,,
36116-25-3,,,,,,,,,,,,
36116-28-6,,,,,,,,,,,,
36116-31-1,,,,,,,,,,,,
36116-84-4,,,,,,,,,,,,
36117-88-1,,,,,,,,,,,,
36118-60-2,,,,,,,,,,,,
36120-03-3,,,,,,,,,,,,
3613-30-7,,,,,,,,,,,,
361378-90-7,,,,,,,,,,,,
361437-64-1,,,,,,,,,,,,
361459-38-3,,,,,,,,,,,,
36148-59-1,,,,,,,,,,,,
3615-37-0,,,,,,,,,,,,
3615-41-6,,,,,,,,,,,,
3615-44-9,,,,,,,,,,,,
3615-82-5,,,,,,,,,,,,
3616-19-1,,,,,,,,,,,,
36177-92-1,,,,,,,,,,,,
36179-96-1,,,,,,,,,,,,
36179-98-3,,,,,,,,,,,,
36181-27-8,,,,,,,,,,,,
3618-43-7,,,,,,,,,,,,
3618-58-4,,,,,,,,,,,,
3618-62-0,,,,,,,,,,,,
3618-63-1,,,,,,,,,,,,
3618-65-3,,,,,,,,,,,,
3618-72-2,,,,,,,,,,,,
3618-73-3,,,,,,,,,,,,
36190-62-2,,,,,,,,,,,,
36190-75-7,,,,,,,,,,,,
36196-44-8,,,,,,,,,,,,
36207-25-7,,,,,,,,,,,,
36208-33-0,,,,,,,,,,,,
36208-34-1,,,,,,,,,,,,
36208-35-2,,,,,,,,,,,,
36208-59-0,,,,,,,,,,,,
36215-85-7,,,,,,,,,,,,
36226-32-1,,,,,,,,,,,,
3622-84-2,,,,,,,,,,,,
36232-89-0,,,,,,,,,,,,
3623-51-6,,,,,,,,,,,,
3623-52-7,,,,,,,,,,,,
362467-67-2,,,,,,,,,,,,
3624-68-8,,,,,,,,,,,,
3624-77-9,,,,,,,,,,,,
3624-90-6,,,,,,,,,,,,
362520-79-4,,,,,,,,,,,,
362520-89-6,,,,,,,,,,,,
36259-37-7,,,,,,,,,,,,
362603-93-8,,,,,,,,,,,,
362603-94-9,,,,,,,,,,,,
362603-95-0,,,,,,,,,,,,
3626-28-6,,,,,,,,,,,,
3626-30-0,,,,,,,,,,,,
3626-35-5,,,,,,,,,,,,
3626-36-6,,,,,,,,,,,,
3626-40-2,,,,,,,,,,,,
36267-71-7,,,,,,,,,,,,
36268-59-4,,,,,,,,,,,,
36268-65-2,,,,,,,,,,,,
36273-11-7,,,,,,,,,,,,
36275-66-8,,,,,,,,,,,,
36290-04-7,,,,,,,,,,,,
36294-21-0,,,,,,,,,,,,
36294-24-3,,,,,,,,,,,,
363-03-1,,,,,,,,,,,,
36305-05-2,,,,,,,,,,,,
36306-86-2,,,,,,,,,,,,
36306-87-3,,,,,,,,,,,,
36310-91-5,,,,,,,,,,,,
36311-34-9,,,,,,,,,,,,
36311-82-7,,,,,,,,,,,,
36312-70-6,,,,,,,,,,,,
36315-01-2,,,,,,,,,,,,
363162-42-9,,,,,,,,,,,,
36316-69-5,,,,,,,,,,,,
36318-77-1,,,,,,,,,,,,
36321-40-1,,,,,,,,,,,,
36323-28-1,,,,,,,,,,,,
3632-91-5,,,,,,,,,,,,
36330-05-9,,,,,,,,,,,,
36333-79-6,,,,,,,,,,,,
36339-04-5,,,,,,,,,,,,
36339-47-6,,,,,,,,,,,,
36343-80-3,,,,,,,,,,,,
36343-81-4,,,,,,,,,,,,
3634-47-7,,,,,,,,,,,,
36346-15-3,,,,,,,,,,,,
3634-67-1,,,,,,,,,,,,
36347-52-1,,,,,,,,,,,,
3634-83-1,,,,,,,,,,,,
36348-64-8,,,,,,,,,,,,
3634-94-4,,,,,,,,,,,,
36352-49-5,,,,,,,,,,,,
36354-96-8,,,,,,,,,,,,
36355-01-8,,,,,,,,,,,,
36355-51-8,,,,,,,,,,,,
36355-76-7,,,,,,,,,,,,
36356-73-7,,,,,,,,,,,,
36356-82-8,,,,,,,,,,,,
36356-83-9,,,,,,,,,,,,
36357-38-7,,,,,,,,,,,,
363607-13-0,,,,,,,,,,,,
363612-93-5,,,,,,,,,,,,
36362-09-1,,,,,,,,,,,,
36365-79-4,,,,,,,,,,,,
36369-40-1,,,,,,,,,,,,
1/2/3637,,,,,,,,,,,,
363-72-4,,,,,,,,,,,,
36380-97-9,,,,,,,,,,,,
36388-36-0,,,,,,,,,,,,
36389-86-3,,,,,,,,,,,,
36393-56-3,,,,,,,,,,,,
36399-15-2,,,,,,,,,,,,
36399-21-0,,,,,,,,,,,,
364041-81-6,,,,,,,,,,,,
364041-90-7,,,,,,,,,,,,
36405-17-1,,,,,,,,,,,,
364059-77-8,,,,,,,,,,,,
364066-32-0,,,,,,,,,,,,
364066-33-1,,,,,,,,,,,,
364066-66-0,,,,,,,,,,,,
36409-70-8,,,,,,,,,,,,
3641-13-2,,,,,,,,,,,,
36411-52-6,,,,,,,,,,,,
36422-95-4,,,,,,,,,,,,
36425-15-7,,,,,,,,,,,,
36425-16-8,,,,,,,,,,,,
36426-74-1,,,,,,,,,,,,
36431-22-8,,,,,,,,,,,,
36431-72-8,,,,,,,,,,,,
36432-42-5,,,,,,,,,,,,
36432-46-9,,,,,,,,,,,,
3643-70-7,,,,,,,,,,,,
36437-36-2,,,,,,,,,,,,
36437-37-3,,,,,,,,,,,,
36437-64-6,,,,,,,,,,,,
36438-51-4,,,,,,,,,,,,
3644-12-0,,,,,,,,,,,,
36443-68-2,,,,,,,,,,,,
36445-71-3,,,,,,,,,,,,
36445-84-8,,,,,,,,,,,,
3645-00-9,,,,,,,,,,,,
36451-09-9,,,,,,,,,,,,
36452-21-8,,,,,,,,,,,,
36452-23-0,,,,,,,,,,,,
36452-66-1,,,,,,,,,,,,
3645-34-9,,,,,,,,,,,,
3645-61-2,,,,,,,,,,,,
36463-39-5,,,,,,,,,,,,
3646-68-2,,,,,,,,,,,,
36468-16-3,,,,,,,,,,,,
3647-48-1,,,,,,,,,,,,
364-76-1,,,,,,,,,,,,
3647-69-6,,,,,,,,,,,,
364776-91-0,,,,,,,,,,,,
364776-94-3,,,,,,,,,,,,
3648-18-8,,,,,,,,,,,,
3648-20-2,,,,,,,,,,,,
3648-21-3,,,,,,,,,,,,
364-83-0,,,,,,,,,,,,
36483-57-5,,,,,,,,,,,,
3648-36-0,,,,,,,,,,,,
36483-60-0,,,,,,,,,,,,
36484-54-5,,,,,,,,,,,,
36487-02-2,,,,,,,,,,,,
36491-26-6,,,,,,,,,,,,
36493-25-1,,,,,,,,,,,,
36493-27-3,,,,,,,,,,,,
36493-41-1,,,,,,,,,,,,
36496-12-5,,,,,,,,,,,,
36497-11-7,,,,,,,,,,,,
36497-34-4,,,,,,,,,,,,
36501-84-5,,,,,,,,,,,,
36503-55-6,,,,,,,,,,,,
36508-31-3,,,,,,,,,,,,
3651-23-8,,,,,,,,,,,,
3651-62-5,,,,,,,,,,,,
36518-76-0,,,,,,,,,,,,
36521-75-2,,,,,,,,,,,,
36521-89-8,,,,,,,,,,,,
36525-74-3,,,,,,,,,,,,
36528-28-6,,,,,,,,,,,,
36528-80-0,,,,,,,,,,,,
36530-24-2,,,,,,,,,,,,
3653-48-3,,,,,,,,,,,,
36535-16-7,,,,,,,,,,,,
36536-22-8,,,,,,,,,,,,
365411-50-3,,,,,,,,,,,,
36541-61-4,,,,,,,,,,,,
36545-21-8,,,,,,,,,,,,
365454-68-8,,,,,,,,,,,,
3655-00-3,,,,,,,,,,,,
36550-26-2,,,,,,,,,,,,
36551-21-0,,,,,,,,,,,,
365544-04-3,,,,,,,,,,,,
365544-08-7,,,,,,,,,,,,
36556-50-0,,,,,,,,,,,,
36561-06-5,,,,,,,,,,,,
36563-19-6,,,,,,,,,,,,
36563-57-2,,,,,,,,,,,,
36563-79-8,,,,,,,,,,,,
36567-29-0,,,,,,,,,,,,
36569-86-5,,,,,,,,,,,,
36576-70-2,,,,,,,,,,,,
36582-38-4,,,,,,,,,,,,
36582-66-8,,,,,,,,,,,,
3658-48-8,,,,,,,,,,,,
3658-62-6,,,,,,,,,,,,
3658-63-7,,,,,,,,,,,,
3658-77-3,,,,,,,,,,,,
3658-79-5,,,,,,,,,,,,
3658-80-8,,,,,,,,,,,,
3658-93-3,,,,,,,,,,,,
3658-95-5,,,,,,,,,,,,
36589-61-4,,,,,,,,,,,,
36596-36-8,,,,,,,,,,,,
366009-01-0,,,,,,,,,,,,
366016-41-3,,,,,,,,,,,,
36604-80-5,,,,,,,,,,,,
36609-31-1,,,,,,,,,,,,
36613-11-3,,,,,,,,,,,,
36616-60-1,,,,,,,,,,,,
366-18-7,,,,,,,,,,,,
36619-05-3,,,,,,,,,,,,
36619-23-5,,,,,,,,,,,,
36626-52-5,,,,,,,,,,,,
366-29-0,,,,,,,,,,,,
36631-30-8,,,,,,,,,,,,
3663-21-6,,,,,,,,,,,,
3663-22-7,,,,,,,,,,,,
3663-23-8,,,,,,,,,,,,
3663-43-2,,,,,,,,,,,,
3663-50-1,,,,,,,,,,,,
36639-87-9,,,,,,,,,,,,
3663-99-8,,,,,,,,,,,,
36653-82-4,,,,,,,,,,,,
3665-51-8,,,,,,,,,,,,
36655-19-3,,,,,,,,,,,,
36657-47-3,,,,,,,,,,,,
3665-80-3,,,,,,,,,,,,
36663-75-9,,,,,,,,,,,,
36671-85-9,,,,,,,,,,,,
36673-16-2,,,,,,,,,,,,
36675-34-0,,,,,,,,,,,,
36678-45-2,,,,,,,,,,,,
36678-65-6,,,,,,,,,,,,
36701-01-6,,,,,,,,,,,,
36704-23-1,,,,,,,,,,,,
36704-31-1,,,,,,,,,,,,
36705-33-6,,,,,,,,,,,,
367-12-4,,,,,,,,,,,,
3671-99-6,,,,,,,,,,,,
367-21-5,,,,,,,,,,,,
36724-43-3,,,,,,,,,,,,
367-25-9,,,,,,,,,,,,
36727-29-4,,,,,,,,,,,,
36727-72-7,,,,,,,,,,,,
36731-14-3,,,,,,,,,,,,
36731-16-5,,,,,,,,,,,,
36731-52-9,,,,,,,,,,,,
36732-55-5,,,,,,,,,,,,
9/7/3674,,,,,,,,,,,,
3674-13-3,,,,,,,,,,,,
3674-33-7,,,,,,,,,,,,
367-44-2,,,,,,,,,,,,
