TSCA,HAPS,EHS,COI,RTK,SVHC,RED,EPA,LTAP,SNUR List,NES HAPS,"PBT
(WAC 173-333-320)",IARC
10024-93-8,79-44-7,86-88-4,7722-84-1,57-14-7,1310480-28-4,186825-36-5,75-79-6,,106790-31-2,,70648-26-9,108-46-3
10024-97-2,68-12-2,1303-28-2,13463-40-6,131-11-3,1329995-45-0,17404-66-9,75-78-5,,144117,,72-20-8,108-60-1
100-25-4,57-14-7,1327-53-3,78-82-0,77-78-1,1329995-69-8,52427-13-1,75-77-4,,1005516-89-1,,72918-21-9,108-78-1
10025-65-7,131-11-3,7784-34-1,541-25-3,534-52-1,144116-10-9,30784-30-6,75-61-6,,145963-84-4,,74472-37-0,108-88-3
10025-67-9,77-78-1,7784-42-1,126-98-7,51-28-5,1462414-59-0,2497-59-8,75-54-7,,1649-08-7,,76-44-8,108-94-1
10025-68-0,534-52-1,2642-71-9,594-42-3,121-14-2,153443-35-7,2315-67-5,75-52-5,,1313999-39-1,,79-94-7,108-95-2
10025-73-7,51-28-5,86-50-0,509-14-8,123-91-1,189274-31-5,2315-61-9,75-47-8,,1386395-00-1,,8001-35-2,108-99-6
10025-74-8,121-14-2,98-87-3,74-93-1,122-66-7,202189-84-2,9002-93-1,75-35-4,,13417-01-1,,85535-84-8,109-70-6
10025-76-0,123-91-1,98-16-8,556-64-9,106-89-8,213740-81-9,17570-76-2,75-34-3,,167261,,87-68-3,109-99-9
10025-78-2,122-66-7,98-05-5,75-79-6,106-88-7,341035-71-0,3687-31-8,75-27-4,,1410795-89-9,,95-94-3,110-00-9
10025-82-8,106-89-8,100-14-1,13463-39-3,140-88-5,341548-85-4,15245-44-0,75-25-2,,106008-93-9,,1024-57-3,110-57-6
10025-83-9,106-88-7,91-08-7,7697-37-2,100-41-4,350836-93-0,13424-46-9,75-65-0,,137418;UID-2016-00032,,,110-86-1
10025-87-3,140-88-5,108-98-5,10102-43-9,51-79-6,425670-70-8,7778-44-1,75-55-8,,122395,,,110-91-8
10025-91-9,100-41-4,3615-21-2,50782-69-9,75-00-3,421555-74-0,117-82-8,75-50-3,,170424-64-3,,,11056-06-7
10025-97-5,51-79-6,140-29-4,10025-87-3,106-93-4,421555-73-9,7778-39-4,75-31-0,,109-86-4,,,111-42-2
10025-98-6,75-00-3,15271-41-7,10026-13-8,107-06-2,41184-65-0,140-66-9,76-02-8,,147732-58-9,,,111-44-4
10025-99-7,106-93-4,1464-53-5,110-89-4,107-21-1,41242-12-0,68515-42-4,76-01-7,,147170-47-6,,,111-76-2
10026-00-3,107-06-2,534-07-6,75-74-1,151-56-4,80-46-6,71888-89-6,76-03-9,,10534-87-9,,,111025-46-8
10026-03-6,107-21-1,4044-65-9,151-50-8,75-21-8,3830-45-3,1333-82-0,78-95-5,,142636-91-7,,,111189-32-3
10026-04-7,151-56-4,10294-34-5,107-44-8,96-45-7,3108-42-7,7738-94-5,78-94-4,,125061-94-1,,,1116-54-7
10026-07-0,75-21-8,7637-07-2,75-77-4,75-34-3,335-76-2,7778-50-9,78-93-3,,142086,,,1120-71-4
10026-08-1,96-45-7,353-42-4,26628-22-8,50-00-0,1987-50-4,7789-00-6,78-92-2,,163119-16-2,,,1143-38-0
10026-10-5,75-34-3,28772-56-7,143-33-9,76-44-8,72624-02-3,115-96-8,78-88-6,,106877,,,115-02-6
